PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,PERCENTILE
Tony Parker,SAS,72,46,6.30%,1,46,17,40,42.5,46.3,13.00%,2.20%,10.90%,2.20%,45.70%,18.7
Jason Terry,HOU,72,45,10.90%,0.98,44,14,37,37.8,40.5,20.00%,4.40%,20.00%,6.70%,44.40%,23.8
DeMar DeRozan,TOR,78,53,7.30%,0.89,47,10,34,29.4,33.8,26.40%,9.40%,17.00%,0.00%,45.30%,40.7
Hollis Thompson,PHI,77,57,9.50%,0.84,48,21,51,41.2,41.2,7.00%,7.00%,5.30%,3.50%,40.40%,51.1
Mason Plumlee,POR,82,53,5.40%,0.83,44,19,47,40.4,40.4,11.30%,7.50%,9.40%,7.50%,39.60%,54.6
Bradley Beal,WAS,55,56,11.00%,0.79,44,18,48,37.5,40.6,7.10%,8.90%,7.10%,1.80%,37.50%,64.3
Brook Lopez,BKN,74,56,5.70%,0.79,44,16,47,34,35.1,12.50%,5.40%,12.50%,1.80%,39.30%,64.3
Russell Westbrook,OKC,80,60,7.10%,0.82,49,20,51,39.2,43.1,6.70%,10.00%,5.00%,1.70%,38.30%,57.6
Chandler Parsons,DAL,61,61,12.50%,0.72,44,15,54,27.8,30.6,11.50%,1.60%,11.50%,1.60%,34.40%,77.4
Isaiah Thomas,BOS,82,70,8.70%,0.7,49,15,51,29.4,30.4,17.10%,11.40%,12.90%,1.40%,35.70%,80.7
Wesley Matthews,DAL,78,80,9.60%,0.6,48,17,57,29.8,32.5,8.80%,20.00%,6.30%,0.00%,28.80%,92.2
Shane Larkin,BKN,78,40,6.50%,1.17,47,18,35,51.4,55.7,15.00%,7.50%,15.00%,10.00%,50.00%,4.5
Leandro Barbosa,GSW,68,51,16.50%,0.88,45,16,47,34,38.3,13.70%,2.00%,13.70%,7.80%,37.30%,42.2
Alex Len,PHX,78,60,6.90%,0.78,47,21,53,39.6,39.6,8.30%,8.30%,8.30%,5.00%,38.30%,65.4
Toney Douglas,NOP,61,42,9.70%,1.17,49,17,36,47.2,55.6,11.90%,2.40%,9.50%,2.40%,50.00%,4.8
Larry Nance,LAL,63,56,14.00%,0.91,51,15,44,34.1,39.8,23.20%,3.60%,19.60%,5.40%,42.90%,35.1
Anthony Tolliver,DET,72,60,12.60%,0.87,52,21,54,38.9,41.7,8.30%,3.30%,6.70%,1.70%,40.00%,45.6
Nemanja Bjelica,MIN,60,66,14.40%,0.79,52,20,58,34.5,36.2,9.10%,6.10%,9.10%,3.00%,36.40%,62.7
Elfrid Payton,ORL,73,69,8.40%,0.67,46,13,43,30.2,30.2,15.90%,21.70%,8.70%,0.00%,34.80%,86.4
ETwaun Moore,CHI,59,44,10.10%,1.07,47,18,38,47.4,52.6,13.60%,2.30%,9.10%,2.30%,50.00%,10.8
Tony Snell,CHI,64,54,11.80%,0.87,47,20,46,43.5,43.5,14.80%,11.10%,14.80%,11.10%,40.70%,44.4
Gordon Hayward,UTA,80,61,9.20%,0.92,56,21,51,41.2,44.1,11.50%,4.90%,11.50%,0.00%,45.90%,34.1
JR Smith,CLE,77,53,7.70%,0.89,47,14,39,35.9,41,15.10%,11.30%,15.10%,0.00%,41.50%,40.7
Austin Rivers,LAC,67,55,9.50%,0.89,49,13,37,35.1,43.2,21.80%,12.70%,18.20%,1.80%,43.60%,38.4
Rajon Rondo,SAC,72,45,5.10%,1.07,48,16,33,48.5,56.1,20.00%,11.10%,17.80%,4.40%,51.10%,11.1
Nikola Vucevic,ORL,65,55,6.40%,0.91,50,21,46,45.7,45.7,7.30%,9.10%,5.50%,0.00%,45.50%,35.7
Andre Roberson,OKC,70,55,9.40%,0.87,48,16,43,37.2,37.2,18.20%,7.30%,18.20%,3.60%,41.80%,43.6
Damian Lillard,POR,75,66,6.40%,0.73,48,17,45,37.8,40,15.20%,19.70%,12.10%,3.00%,34.80%,76.3
Louis Williams,LAL,67,49,8.00%,1,49,22,41,53.7,57.3,4.10%,12.20%,4.10%,0.00%,46.90%,18.7
Rudy Gobert,UTA,61,55,6.50%,0.89,49,18,43,41.9,45.3,16.40%,7.30%,14.50%,1.80%,45.50%,38.4
Patrick Patterson,TOR,79,79,11.60%,0.66,52,19,64,29.7,33.6,7.60%,11.40%,5.10%,0.00%,30.40%,87.7
Goran Dragic,MIA,72,48,6.10%,1.04,50,15,35,42.9,42.9,25.00%,8.30%,18.80%,6.30%,50.00%,15
Jeff Teague,ATL,79,53,6.40%,0.94,50,19,42,45.2,48.8,9.40%,11.30%,7.50%,0.00%,45.30%,29.1
Devin Booker,PHX,76,59,9.00%,0.85,50,15,41,36.6,39,16.90%,13.60%,10.20%,0.00%,42.40%,49.6
Shaun Livingston,GSW,78,63,10.80%,0.84,53,15,45,33.3,35.6,22.20%,7.90%,19.00%,1.60%,41.30%,51.5
JJ Redick,LAC,75,62,9.60%,0.84,52,21,49,42.9,44.9,8.10%,14.50%,8.10%,1.60%,40.30%,52.6
Jared Sullinger,BOS,81,70,9.10%,0.74,52,21,59,35.6,37.3,7.10%,10.00%,5.70%,1.40%,35.70%,72.5
Ramon Sessions,WAS,82,58,9.60%,0.91,53,18,41,43.9,47.6,17.20%,15.50%,12.10%,3.40%,43.10%,34.8
Lavoy Allen,IND,79,61,9.70%,0.97,59,23,50,46,51,8.20%,9.80%,9.80%,1.60%,44.30%,25.8
Kyle Korver,ATL,80,70,9.90%,0.73,51,20,59,33.9,36.4,10.00%,10.00%,8.60%,4.30%,34.30%,75.4
Deron Williams,DAL,65,71,9.40%,0.72,51,20,61,32.8,36.1,7.00%,9.90%,5.60%,2.80%,32.40%,77.7
Avery Bradley,BOS,76,79,9.40%,0.7,55,15,52,28.8,29.8,16.50%,19.00%,12.70%,1.30%,34.20%,81.5
Cory Joseph,TOR,80,62,8.10%,0.92,57,24,54,44.4,47.2,8.10%,9.70%,8.10%,4.80%,41.90%,33.6
Omri Casspi,SAC,69,60,11.20%,0.87,52,22,50,44,47,8.30%,11.70%,8.30%,3.30%,41.70%,45.6
Trevor Booker,UTA,79,69,12.30%,0.77,53,21,58,36.2,38.8,10.10%,7.20%,8.70%,1.40%,37.70%,68.2
Rudy Gay,SAC,70,84,10.90%,0.79,66,20,60,33.3,39.2,14.30%,14.30%,10.70%,0.00%,36.90%,64.3
Terrence Jones,HOU,50,53,15.50%,1,53,19,42,45.2,51.2,11.30%,11.30%,9.40%,1.90%,45.30%,18.7
Nerlens Noel,PHI,67,59,6.60%,0.93,55,22,49,44.9,46.9,11.90%,10.20%,11.90%,5.10%,44.10%,32.1
Ersan Ilyasova,DET,52,55,11.20%,0.96,53,23,43,53.5,53.5,9.10%,14.50%,9.10%,1.80%,49.10%,26.1
Zach LaVine,MIN,82,62,7.60%,0.89,55,18,50,36,38,17.70%,4.80%,11.30%,3.20%,43.50%,40.4
DeMarcus Cousins,SAC,65,62,5.80%,0.85,53,17,45,37.8,43.3,14.50%,14.50%,11.30%,1.60%,40.30%,48.4
